mode,condition,bw,flatness,peaks,topPeakPower,topPeakBW,fskPairs,fskValley,cv,duty,transitions,ook,baudRate,baudConf,costasScore,costasMode
rtty,clean-1000Hz,1394,0.0037,20,66.7,17.6,11,4,0.005,0.300,48.0,false,6.25,1.000,0.754,js8call
rtty,clean-1000Hz,1482,0.0033,20,67.2,17.6,11,2,0.004,0.260,44.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1306,0.0048,20,68.0,17.6,11,4,0.004,0.405,42.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1482,0.0033,20,67.2,17.6,11,2,0.004,0.260,44.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1259,0.0052,20,68.3,11.7,11,9,0.004,0.360,31.5,false,6.25,1.000,0.726,js8call
rtty,clean-1000Hz,1259,0.0048,20,68.9,11.7,11,10,0.004,0.370,31.0,false,6.25,1.000,0.532,ft8
rtty,clean-1000Hz,1394,0.0040,20,67.3,17.6,11,2,0.004,0.250,45.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1394,0.0037,20,66.7,17.6,11,4,0.005,0.300,48.0,false,6.25,1.000,0.754,js8call
rtty,clean-1000Hz,1482,0.0033,20,67.2,17.6,11,2,0.004,0.260,44.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1259,0.0054,20,67.1,17.6,11,6,0.004,0.255,43.0,false,6.25,1.000,0.458,ft8
rtty,clean-1000Hz,1482,0.0033,20,67.2,17.6,11,2,0.004,0.260,44.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1259,0.0048,20,68.9,11.7,11,10,0.004,0.370,31.0,false,6.25,1.000,0.532,ft8
rtty,clean-1000Hz,1306,0.0048,20,68.0,17.6,11,4,0.004,0.405,42.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1306,0.0048,20,68.0,17.6,11,4,0.004,0.405,42.0,false,6.25,1.000,0.490,js8call
rtty,clean-1000Hz,1259,0.0054,20,67.1,17.6,11,6,0.004,0.255,43.0,false,6.25,1.000,0.458,ft8
rtty,clean-1000Hz,1259,0.0048,20,68.9,11.7,11,10,0.004,0.370,31.0,false,6.25,1.000,0.532,ft8
